idProducto;codProducto;nombre;stock;idSubcategoria;idCategoria
1;A0103;ANESTESIA ANESCART FORTR X50.;331;1;1
2;A0111;ANESTESIA KLEPP TOPICAL;130;1;1
3;4;ANESTESIA MUCO-ANESTYL GEL 50G;373;1;1
4;A0107;ANESTESIA SCANDONEST 3% S.V.C.;246;1;1
5;245;ANESTESIA SPRAY INDICAN;106;1;1
6;69;ANESTESIA TOTALCAINA X 50;449;1;1
7;A4;INDICAN GEL;62;1;1
8;1;XYLOCAINA DENTSPLY X 50;381;1;1
9;C1485;AGUJAS C/HILO KEEPER;461;1;2
10;A1485;AGUJAS CON HILO;409;1;2
11;A0203;AGUJAS NIPRO/MISAWA/DELTAJET;307;1;2
12;196;ALGODON EN ROLLOS X 2;182;2;2
13;A1531;ALGODON PAROTISROLL ROEKOLIMPI;275;2;2
14;B202;APLICADORES DESC. X 100;261;3;2
15;A1462;APLICADORES INTRAORAL 3M X96 E;468;3;2
16;B363;APLICADORES X 25 MICROBRUSH;121;3;2
17;A1468;BABEROS COMPRESAS X 125 CROSS;137;4;2
18;A1476;BABEROS LISOS X 100;89;4;2
19;B206;BARBIJO 3M. MASCARILLA;22;4;2
20;A1466;BARBIJOS CROSSTEX X 50;1;5;2
21;A1427;BARBIJOS PAQUETE X 50;328;5;2
22;E205;BOLSAS AUTOCLAVE 30X46 X 100;354;6;2
23;D205;BOLSAS P/ESTERILIZAR BANDEJA;148;6;2
24;B154;CADENAS P/ BABEROS NI¥OS;270;4;2
25;154;CADENAS P/BABEROS METALICA;62;4;2
26;A846;CANULA DE ACERO;435;6;2
27;846;CANULAS CROSSTEX X 100;147;6;2
28;C1463;CEPILLITOS ULTABRUSH C/MANGO;83;6;2
29;B205;COMPRESAS X 100;324;2;2
30;A205;COMPRESAS X100 QUALITY;355;2;2
31;B212;CUBETAS P/FLUOR TERG.;414;6;2
32;C0205;DESCARTADOR AGUJAS A BOTON;67;1;2
33;B0205;DESCARTADOR DE AGUJAS;465;1;2
34;B1476;EQUIPO ODONT. DESC. P/CIRUGIA;430;7;2
35;C1476;EQUIPO P/IMPLANTE BLANCO;144;7;2
36;D1476;EQUIPO P/IMPLANTE AZUL;4;7;2
37;199;EYECTORES DESCARTABLES X 100;49;6;2
38;A199;EYECTORES ESPIRALADOS;280;6;2
39;A1401;GASA EN TROZOS 1/2K. IRREGULAR;359;2;2
40;A1404;GOMA DIQUE DENSELL;458;6;2
41;A1443;GOMA DIQUE NACIONAL;80;6;2
42;572;GUANTES DE NITRILO;312;8;2
43;A570;GUANTES ESTERILES;263;8;2
44;570;GUANTES PRIMEX/DENSELL S/TALCO;187;8;2
45;571;GUANTES VICTORIA LISO;328;8;2
46;161;HILO SUTURA NEGRO FARMADENTAL;134;1;2
47;219;HOJAS BISTURI N¥15 IMPORTADAS;199;1;2
48;A219;HOJAS DE BISTURI N¥ 15 XINDA;499;1;2
49;A1482;KIT DESC. ESPEJO EXPLORADOR;223;6;2
50;E1446;LABIA-EX ABRE LABIOS;213;6;2
51;B846;MIRASUCTO PTA. DE ASPIRACION;93;6;2
52;A1463;PINCELES DESCARTABLES X 50;376;6;2
53;C846;POLIMATIC PTAS. ASPIRACION;456;6;2
54;D846;POLYSUC ASPIRACION REDONDA;470;6;2
55;B502;PUNTAS ORAL TIPS X 48;332;6;2
56;B1340;REP. TOALLAS CLEAN-UP;215;6;2
57;A0006;ROLLO P/ESTERILIZAR X 15CM.;39;2;2
58;A0007;ROLLO P/ESTERILIZAR X 20 CM.;27;2;2
59;C1440;SOTENEDORES ROLLOS ALG. MET.;432;2;2
60;A1407;TIRAS ACETATO GABRICEL;259;6;2
61;150;TIRAS DE ACERO P/AMALGAMA DMG;217;6;2
62;A1423;TIRAS P/PULIR COMP.NOWET X 100;481;6;2
63;A1020;ABSOLUTE DENTIN PARKELL;405;7;3
64;A19;ACIDO COLTENE JER. 2.5 ML.;411;1;3
65;B244;ACIDO FLUORIDRICO;13;1;3
66;A244;ACIDO JER. X 2 O 3 GRS;100;1;3
67;244;ACONDIC. JERINGA ACIDO X 12 GS;499;7;3
68;A1041;ADH.TE ECONOM X5ML.;261;2;3
69;C1044;ADHESIVO ADPER EASY ONE 3M.;185;2;3
70;A1075;ADHESIVO DE FOTO ONE COAT BOND;362;2;3
71;B1073;ADHESIVO EASYBOND-ONE STEP;139;2;3
72;841;ADHESIVO MULTIPROPOSITO;303;2;3
73;442;ADHESIVO OPTIBOND S KERR;182;2;3
74;346;ADHESIVO PRIMA&BOND X 4ML.;479;2;3
75;B1044;ADHESIVO SINGLE BOND II X 3ML.;464;2;3
76;181;ALEACION CONTOUR KERR 30 GRS.;23;3;3
77;74;ALEACION EXIDENT X30 GRS.;150;3;3
78;75;AMALGAMA BELKYS;344;3;3
79;188;AMALGAMA CAP.X 10;242;3;3
80;B182;AMALGAMA NU ALLOY X 80;228;3;3
81;277;BARNIZ BAXIM. X 20ML.DICKINSON;254;2;3
82;D0010;BIOCLIP FOTO C/U JER. TEMPORAL;276;2;3
83;A1052;C0MP. JER. FILTEK Z250 3M;244;2;3
84;A1067;CEMENTO ARC CLIKER REFILL 3M.;481;2;3
85;A0300;CEMENTO C&B BISCO AUTO;199;2;3
86;A301;CEMENTO DUAL ALLCEM FGM. X5GRS;437;2;3
87;A300;CEMENTO DUAL DUOLINK;464;2;3
88;B0300;CEMENTO RESINA DUAL VENTURA JE;139;2;3
89;B0312;CEMENTO TEMP.TEMP-BOND;215;2;3
90;B306;COMP. FLUIDO BISCO- AELITEFLOW;54;2;3
91;A1053;COMP. JER. FILTEK P60 3M;405;2;3
92;A1083;COMP. SER. BIOFIX P/ BRAQUETES;463;2;3
93;A1021;COMP. TETRIC CERAM. JER. X 4GR;346;2;3
94;A1016;COMP. Z 100 JER X 4 GRS.;56;2;3
95;D0008;COMPOSITE FLOW MASTER FLOW;116;2;3
96;D0009;COMPOSITE FOTO. JER. X 4GRS.;397;2;3
97;A1002;COMPOSITE HELIOSIT ORTHOD.C/U;263;2;3
98;A1073;COMPOSITE JER. ROK;262;2;3
99;B1053;COMPOSITE SUREFIL X 5;41;2;3
100;A1038;DURATEMP;488;7;3
101;D0300;ENFORCE CORE KIT;94;7;3
102;B1047;ESTHET-X JERINGA REP.;89;7;3
103;D0001;HIDROX. DE CALCIO FOTO.BIOCAL;434;7;3
104;A0339;IONO. DENSELL AUTOCURADO IYII;103;4;3
105;A0327;IONO. KETAC MOLAR ESPE AVIO;364;4;3
106;B0339;IONOM. GAMMA O EGEO I Y II;403;4;3
107;B0340;IONOM. KETAC CEN 15 GR.;499;4;3
108;A0329;IONOM. MAXXION RESTAURACION;140;4;3
109;A0301;IONOM. RIVA CAPSULAS X 10 SDI;298;4;3
110;A0325;IONOM. VITREMER POLVO AZUL;436;4;3
111;A0305;IONOM. VITRO FILL Y CEM.;452;4;3
112;A0314;IONOMERO AVIO MERON P. Y LIQ.;103;4;3
113;A0482;IONOMERO DENSELL A.R.T.;261;4;3
114;A0481;IONOMERO DENSELL MP LC. REST.;148;4;3
115;B302;IONOMERO DMG LINER P/BASE;334;4;3
116;A0326;IONOMERO FUJI II FOTOCURADO;232;4;3
117;A0312;IONOMERO FUJI TIPO I CEMENTADO;438;4;3
118;A0313;IONOMERO FUJI TIPO II OBTURACI;305;4;3
119;C0339;IONOMERO GAMMA FOTO.X10 AVIO;480;4;3
120;A0315;IONOMERO IONOFIL AVIO;58;4;3
121;B0315;IONOMERO IONOFIL MOLAR AVIO;74;4;3
122;A0340;IONOMERO KETAC CEM AVIO;419;4;3
123;A0304;IONOMERO MEGA X 10 GR.;189;4;3
124;A0318;IONOMERO RIVA LUTING PLUS X25;379;4;3
125;A0317;IONOMERO SECURAFIL LC;15;4;3
126;A0316;IONOMERO VITREBOND DE FOTO.;408;4;3
127;A0321;IONOMERO VITREMER AVIO;136;4;3
128;A0309;IONOMERO VITREMER PRIMER;205;4;3
129;B0307;IONOSEAL VOCO;289;7;3
130;62;JER. FILTEX Z 350;99;5;3
131;A1061;JER.FLOW KRYSTAL X 2 GR.;367;5;3
132;A1084;JERINGA 1GR. COMP. FLUIDO WAVE;207;5;3
133;A1082;JERINGA AELITE POSTERIOR;431;5;3
134;A1079;JERINGA BRILLANT NEWLINE;306;5;3
135;A1039;JERINGA COMP. ECO-FLOW;233;5;3
136;A1015;JERINGA LLIS 4 GRS.;327;5;3
137;B1015;JERINGA OPALLIIS OPACO;26;5;3
138;A1003;JERINGA PRIMEDENT COMP.;9;5;3
139;A1000;JERINGA PRODIGY;240;5;3
140;A1069;JERINGA SUPER COOR X 5 GRS.;309;5;3
141;A1026;JERINGA TETRIC X 4 GRS.;253;5;3
142;A1046;JERINGA TPH 3;174;5;3
143;B1017;JERINGA VENTURA FLOWLUX FLUIDO;273;5;3
144;C1017;JERINGA VENTURA NANOLUX X4.5 G;189;5;3
145;D0002;KIT X 4 MASTER FILL BOND AC. A;269;7;3
146;B1045;OPACIFICADOR OPAK P/METAL-DENT;363;7;3
147;B0308;PROVICOL / Q-TEMP;179;7;3
148;D0011;RESTAURADOR DE FOTO CLIP F X1;68;7;3
149;A0343;SEALER 26;254;7;3
150;A258;SELLADOR CLINPRO 3M JERINGA;427;6;3
151;D0004;SELLADOR DE AUTO;381;6;3
152;B304;SELLADOR DENSELL AUTOCURADO;291;6;3
153;D0005;SELLADOR JER.FOT.X 2.5 GRS;59;6;3
154;B1085;SELLADOR JERIN. CONSEAL - KLEP;398;6;3
155;18;SILANO;499;7;3
156;B0325;VITREMER POLVO X 9 GR.;363;7;3
157;A1054;VTREMER LIQUIDO REPUESTO;431;7;3
158;208;ACRILICO BERA . COLOR 62-45GR;177;1;4
159;A0703;ACRILICO CRILENE X 60 GR;77;1;4
160;209;ACRILICO DURALAY PROVISORIO;450;1;4
161;A0709;ACRILICO NEWCRYL X 40 GRS C YP;113;1;4
162;170;ACRILICO SUBITON CRISTAL X200;117;1;4
163;42;ACRILICO SUBITON ROSA X 400;387;1;4
164;A0710;ACRILICO VAICEL CORONA X 100GR;491;1;4
165;169;ACRILICO VAICEL ROSA X 40;442;1;4
166;B171;CEM. FOSF. DE ZINC LIQ. PROTHO;142;2;4
167;377;CEM. FOSF. HARVARD AVIO CLINIC;307;2;4
168;376;CEM. FOSF. HARVARD AVIO NORMAL;92;2;4
169;A0506;CEM. PROV. PROVIS;264;2;4
170;279;CEM. QUIRURGICO AVIO DICKINSON;417;2;4
171;174;CEM. ZOER CARYOSAN X 85GRS.;422;2;4
172;312;CEM.GROSSMAN AVIO DICKINSON;320;2;4
173;281;CEM.QUIRURGICO LIQ.DICKINSON;29;2;4
174;A172;CEMEN. IRC OXIDO DE ZINC EUG.;271;2;4
175;A376;CEMENTO DE FOSFATO FUYI;221;2;4
176;25;CEMENTO FOSFATO DENSELL;227;2;4
177;A365;CEMENTO GROSSMAN LIQUIDO;131;2;4
178;B376;CEMENTO OXIFOSF. MASTER-DENT;46;2;4
179;B1312;CEMENTO QUIRURGICO POLVO;197;2;4
180;A379;CEMENTO TEMPORARIO 3M;266;2;4
181;172;CEMENTO ZOER S DE O. DE ZINC.;32;2;4
182;A400;DURALAY ROJO AVIO 1 OZ.;261;4;4
183;313;EUGENOL DICKINSON;197;4;4
184;B401;MONOMERO P/CUBETAS X200;305;3;4
185;A207;MONOMERO SUBITON X 60 ML;118;3;4
186;A45;MONOMERO VAICEL X 45 CC;110;3;4
187;C45;MONOMERO X 20 ML;378;3;4
188;A0702;MONOMERO X 500 SUBITON;245;3;4
189;A279;PERIOBOND;246;4;4
190;A0502;PROVISORIO 3M;47;2;4
191;406;PROVISORIO DMG;429;2;4
192;A1037;RESTAURADOR TEMP. DENSELL FOTO;125;4;4
193;D1106;ACOND.SOFT DENT EGEO;223;6;5
194;A1103;ACONDIC. DENTUFLEX AVIO;409;6;5
195;A1106;ACONDIC. DENTUSOF AVIO;203;6;5
196;229;ACTIVADOR COLTEX O DENSELL;291;1;5
197;A1155;ACTIVADOR INDURENT;138;1;5
198;A1156;ACTIVADOR LASTIC X 60ML.;312;1;5
199;80;ACTIVADOR PRECISE;11;1;5
200;A1121;ACTIVADOR VENTURA X 20ML.;499;1;5
201;B1111;ALGINATO ALGIMAX;67;2;5
202;A1115;ALGINATO CA 37 PINK BOLSA X 1;109;2;5
203;B511;ALGINATO HIDROGUM SOFT;118;2;5
204;A73;ALGINATO JELTRATE PLUS;133;2;5
205;A1111;ALGINATO KROMOPAN;221;2;5
206;A111;ALGINATO MILENIUM;102;2;5
207;755;ALGINATO SOBRE X 18 GRS. PHASE;388;2;5
208;A1172;ALGINATO VIVAL DE VIVADENT X 5;177;2;5
209;D212;CERA AZUL EN BARRA C/U;459;3;5
210;B1124;CERA BEAUTY PINK C/U;457;3;5
211;A1124;CERA VAICRIL X 200GRS.;487;3;5
212;89;COLTEX FINE S/CATALIZADOR;473;6;5
213;C310;COMBO ELITE P&P TRIAL KIT;7;6;5
214;B503;COMP. P/MODELAR X 12 LAPICES;109;6;5
215;A1130;COMP.P/MOD.PLANCHAS- LAPIZ HAR;7;6;5
216;213;COMPUESTO BERA PLANCHAS ROJAS;245;6;5
217;B1129;COMPUESTO VERDE LAPIZ C/U;80;6;5
218;B506;ELITE REG./FLUIDA X 180 POMO;22;6;5
219;A1128;HYDROXTREME PUTTY SOFT;356;6;5
220;A1114;INDIVIDO LUX C/SOBRE;336;6;5
221;A1363;JERINGA DESC. P/SILICONAS;84;6;5
222;B1168;PANASIL INITIAL CARTUCHO 2;108;6;5
223;83;PASTA COLTOFLAX X 1000 GRS.;345;6;5
224;A1161;PASTA ELITE HD LIGHT X 96ML FL;45;4;5
225;A1162;PASTA ELITE P&PMASA PUTTY NORM;374;4;5
226;78;PASTA FLUIDA PRECISE;29;4;5
227;A1152;PASTA FLUIDA THIXOFLEX;205;4;5
228;A1120;PASTA FLUIDA VENTURA;420;4;5
229;A1158;PASTA LASTIC 90 X 155;484;4;5
230;79;PASTA MASA PRECESI X 750 GRS;402;4;5
231;A1112;PASTA MASA ZETALABOR X 2.6 KG.;378;4;5
232;A1154;PASTA MASA ZETAPLUS X 900 ML.;30;4;5
233;A1153;PASTA ORANWASH FLUIDA;222;4;5
234;A1168;PASTA PANASIL INITIAL POMO;189;4;5
235;88;PASTA PANASIL PUTTY GDE X900;94;4;5
236;A1157;PASTA PUTTY LASTIC X 582 ML.;278;4;5
237;A1167;PASTA PUTTY PANASIL;153;4;5
238;A1147;PASTA VENTURA IMPRESS P(MASA);318;4;5
239;B1112;PASTA ZETALABOR X 900GRS;338;4;5
240;B1101;PIEDRA POMEZ X 1;195;6;5
241;A1149;PISTOLA ZERMACK;70;6;5
242;B1130;PLACA BASE X 10;31;6;5
243;B1103;RESIL AVIO P/REBASADO;264;6;5
244;B0505;SPEEDEX FLUIDA X 120 ML.;216;6;5
245;B0504;SPEEDEX MASA X 1 KG.;187;6;5
246;A1126;YESO DE IMPRESION XANTANO;177;5;5
247;C500;YESO DENSITA C/RESINA;183;5;5
248;393;YESO DENSITA VEL-MIX 1KG.;168;5;5
249;B393;YESO ELITE STONE 1 K. TIPO 4;474;5;5
250;B1126;YESO IMP. XANTANO;122;5;5
251;A1113;YESO TALLER;101;5;5
252;A1552;ARCO DE YOUNG PORTA GOMA DIGUE;51;11;6
253;A0855;AVIO MANUAL PROTAPER;114;11;6
254;B0831;C+FILE CATETERIZACION SURTIDO;186;11;6
255;412;CAJITA MINIENDO PARA LIMAS;275;11;6
256;B608;CEMENTO DE GROSSMAN DENSELL;49;11;6
257;A1422;CLAMP KERR HAWE C/U;173;11;6
258;B604;CLAMPS ECO.;86;11;6
259;B605;CLAMPS HU-FRIEDY C/U;131;11;6
260;A0853;CONDENSADOR BOER 1-4 MAILLEFER;0;11;6
261;B0602;CONOS ACCESORIOS DMG;111;1;6
262;317;CONOS DE GUTA MAILLEFER;378;1;6
263;185;CONOS DE GUTA SURE-ENDO/META;243;1;6
264;B0601;CONOS DE PAPEL DMG;378;1;6
265;A086;CONOS DENTSPLY;455;1;6
266;B086;CONOS GUTA PROTAPER;286;1;6
267;A0826;CU¥AS ELASTICAS;276;2;6
268;B0820;CU¥AS TRANSPARENTES;185;2;6
269;A0820;CU¥ITAS DE MADERA DMG X 100;123;2;6
270;A0601;DENTIN CONDITIONER;427;11;6
271;B296;DEVITEX X 15 GR;398;11;6
272;236;DOSARSEN X 40 DICKINSON;134;11;6
273;39;DYCAL AUTOCURADO;130;11;6
274;124;EDTAC DICKINSON;184;11;6
275;291;ENDOPREP DENSELL;462;11;6
276;A0817;ENSAN. DE LARGO MAILLEFER C/U;4;11;6
277;A0835;ENSCH. DE LARGO O GATES C/U;212;11;6
278;B609;ESCAREADOR KERR;406;3;6
279;314;ESCAREADORES X 6 - 7/12 - 25 M;109;3;6
280;A0819;ESPACIADOR DIGITAL FINGER X 6;366;4;6
281;B602;ESPACIADOR Y ATACADOR DIGITAL;292;4;6
282;A0848;ESPACIDOR NIQUEL TITANIO MAILL;331;4;6
283;272;ESPIGA DE TITANIO FLEXI-FLANGE;364;11;6
284;127;EUCALIPTOL DICKINSON;129;11;6
285;A0809;FIL-PIN C/U TITANIO;147;11;6
286;B271;FLEXOFILE K GOLDEN MEDIUM;64;11;6
287;B612;GUTTA CONDENSER C/U;307;11;6
288;5;H. DE SODIO X 100 DICKINSON;177;11;6
289;315;HIDROXIDO DE CALCIO AVIO DICKI;74;11;6
290;126;IODOFORMO DICKINSON;468;11;6
291;B1363;JERINGA P/IRRIG. DE CONDUCTOS;190;11;6
292;A0816;LENTULOS MAILLEFER X 4.;287;11;6
293;268;LENTULOS X 4 U. BROACH 1/4;279;11;6
294;B168;LIFE KERR HIDROXIDO DE CALCIO;318;11;6
295;267;LIMA HEDFSTRON 7/12THOMAS/KERR;495;5;6
296;B603;LIMA TRIPLE FLEX 10/35 KERR;208;5;6
297;A0845;LIMAS H UNION BROACH 1/6 O IND;215;5;6
298;A0815;LIMAS HEDSTROM 1/3-1/6 X6;67;5;6
299;A0814;LIMAS HEDSTROM MAILLEFER 7/12;73;5;6
300;A0806;LIMAS K BEUR.1/6/ HED.Y THOMAS;20;5;6
301;A0802;LIMAS K BEURTELROK 10 X 21MM;335;5;6
302;A0804;LIMAS K BEURTELROK 20 X 21MM;109;5;6
